Date,AAPL,GOOG,MSFT,AMZN,FB
2014-12-31,101.72354125976562,524.958740234375,41.84278106689453,310.3500061035156,78.0199966430664
2015-01-02,100.75589752197266,523.3731079101562,42.122039794921875,308.5199890136719,78.44999694824219
2015-01-05,97.91742706298828,512.4630126953125,41.73468017578125,302.19000244140625,77.19000244140625
2015-01-06,97.92666625976562,500.58563232421875,41.122127532958984,295.2900085449219,76.1500015258789
2015-01-07,99.2998046875,499.7279968261719,41.64460372924805,298.4200134277344,76.1500015258789
2015-01-08,103.11512756347656,501.3036804199219,42.86970520019531,300.4599914550781,78.18000030517578
2015-01-09,103.2257080078125,494.8114929199219,42.50938415527344,296.92999267578125,77.73999786376953
2015-01-12,100.68215942382812,491.201416015625,41.9778938293457,291.4100036621094,76.72000122070312
2015-01-13,101.57608032226562,494.82147216796875,41.7617073059082,294.739990234375,76.44999694824219
2015-01-14,101.18904113769531,499.4986267089844,41.4013786315918,293.2699890136719,76.27999877929688
2015-01-15,98.4427261352539,500.4161071777344,40.968994140625,286.95001220703125,74.05000305175781
2015-01-16,97.67781066894531,506.6888732910156,41.65361022949219,290.739990234375,75.18000030517578
2015-01-20,100.1937255859375,505.5121154785156,41.78872299194336,289.44000244140625,76.23999786376953
2015-01-21,100.95864868164062,516.6216430664062,41.3653450012207,297.25,76.73999786376953
2015-01-22,103.58513641357422,532.9268188476562,42.45532989501953,310.32000732421875,77.6500015258789
2015-01-23,104.11962890625,538.4716186523438,42.5003776550293,312.3900146484375,77.83000183105469
2015-01-26,104.23023223876953,533.74462890625,42.347232818603516,309.6600036621094,77.5
2015-01-27,100.58080291748047,517.2100219726562,38.42869567871094,306.75,75.77999877929688
2015-01-28,106.26691436767578,508.6036376953125,37.10449981689453,303.9100036621094,76.23999786376953
2015-01-29,109.57537841796875,509.2618103027344,37.84317398071289,311.7799987792969,78.0
2015-01-30,107.97183227539062,533.0565185546875,36.39286422729492,354.5299987792969,75.91000366210938
2015-02-02,109.32652282714844,527.0330200195312,37.185577392578125,364.4700012207031,74.98999786376953
2015-02-03,109.34498596191406,527.7909545898438,37.47384262084961,363.54998779296875,75.4000015258789
2015-02-04,110.18359375,521.3286743164062,37.690032958984375,364.75,75.62999725341797
2015-02-05,110.97004699707031,526.135498046875,38.239532470703125,373.8900146484375,75.61000061035156
2015-02-06,110.03556823730469,529.546142578125,38.203495025634766,374.2799987792969,74.47000122070312
2015-02-09,110.76651000976562,526.3848266601562,38.158447265625,370.55999755859375,74.44000244140625
2015-02-10,112.89449310302734,535.4698486328125,38.3746452331543,373.0,75.19000244140625
2015-02-11,115.54060363769531,534.5025024414062,38.17647933959961,375.1400146484375,76.51000213623047
2015-02-12,117.0024185180664,541.4434814453125,38.8160400390625,377.1700134277344,76.2300033569336
2015-02-13,117.57605743408203,547.5068359375,39.5186767578125,381.8299865722656,75.73999786376953
2015-02-17,118.26997375488281,541.3536987304688,39.536827087402344,375.42999267578125,75.5999984741211
2015-02-18,119.09342956542969,538.2222900390625,39.491458892822266,373.3699951171875,76.70999908447266
2015-02-19,118.84358215332031,541.3836059570312,39.46424865722656,379.0,79.41999816894531
2015-02-20,119.81507110595703,537.474365234375,39.79085922241211,383.6600036621094,79.9000015258789
2015-02-23,123.0533218383789,530.45361328125,40.0539436340332,380.1400146484375,78.83999633789062
2015-02-24,122.28540802001953,534.6221923828125,39.999515533447266,378.5899963378906,78.44999694824219
2015-02-25,119.15816497802734,542.3809204101562,39.90878677368164,385.3699951171875,79.55999755859375
2015-02-26,120.66629028320312,553.9591064453125,39.9722900390625,384.79998779296875,80.41000366210938
2015-02-27,118.85285186767578,556.87109375,39.78176498413086,380.1600036621094,78.97000122070312
2015-03-02,119.43573760986328,569.7756958007812,39.808998107910156,385.6600036621094,79.75
2015-03-03,119.68553161621094,572.0693969726562,39.26465606689453,384.6099853515625,79.5999984741211
2015-03-04,118.9268798828125,571.8001098632812,39.06507110595703,382.7200012207031,80.9000015258789
2015-03-05,116.9561767578125,573.7547607421875,39.110435485839844,387.8299865722656,81.20999908447266
2015-03-06,117.1319580078125,566.1306762695312,38.430015563964844,380.0899963378906,80.01000213623047
2015-03-09,117.63157653808594,567.29248046875,38.87455749511719,378.55999755859375,79.44000244140625
2015-03-10,115.1982650756836,553.4904174804688,38.13063049316406,369.510009765625,77.55000305175781
2015-03-11,113.09803771972656,549.6708984375,38.08526611328125,366.3699951171875,77.56999969482422
2015-03-12,115.14275360107422,553.989013671875,37.21434020996094,374.239990234375,78.93000030517578
2015-03-13,114.34705352783203,545.8214721679688,37.54093933105469,370.5799865722656,78.05000305175781
2015-03-16,115.60536193847656,552.9917602539062,37.7042350769043,373.3500061035156,78.06999969482422
2015-03-17,117.53904724121094,549.331787109375,37.83124542236328,371.9200134277344,79.36000061035156
2015-03-18,118.86211395263672,557.9680786132812,38.55702590942383,375.1400146484375,80.91000366210938
2015-03-19,117.96466064453125,556.4622192382812,38.36651611328125,373.239990234375,82.75
2015-03-20,116.48431396484375,558.8257446289062,38.901771545410156,378.489990234375,83.80000305175781
2015-03-23,117.69631958007812,557.2799682617188,38.883628845214844,375.1099853515625,84.43000030517578
2015-03-24,117.21525573730469,568.6288452148438,38.919918060302734,374.0899963378906,85.30999755859375
2015-03-25,114.15276336669922,557.2550659179688,37.6135139465332,370.9599914550781,82.91999816894531
2015-03-26,114.94845581054688,553.6499633789062,37.38670349121094,367.3500061035156,83.01000213623047
2015-03-27,114.0324935913086,546.8386840820312,37.168975830078125,370.55999755859375,83.30000305175781
